store,item,qty,slot,when_et
Anderson,Pineapple Upside Down Cheesecake,1,am,2026-09-16 6:00 AM
Anderson,Pineapple Upside Down Lemonade,1,am,2026-09-16 6:00 AM
Anderson,Pineapple Upside Down Lemonade with Cold Foam,1,am,2026-09-16 6:00 AM
Anderson,Tomato Bisque Soup,1,am,2026-09-16 6:00 AM
Crestview,Colossal Carrot Cake,1,am,2026-09-16 6:00 AM
Crestview,Fire Roasted Vegetable Soup,1,am,2026-09-16 6:00 AM
Crestview,Kids Mac & Cheese,1,am,2026-09-16 6:00 AM
Crestview,Large Fresh Fruit,1,am,2026-09-16 6:00 AM
Crestview,Large Mac & Cheese,1,am,2026-09-16 6:00 AM
Crestview,Large Steamed Broccoli,1,am,2026-09-16 6:00 AM
Crestview,Pineapple Upside Down Cheesecake,1,am,2026-09-16 6:00 AM
Crestview,Regular Fresh Fruit,1,am,2026-09-16 6:00 AM
Crestview,Regular Mac & Cheese,1,am,2026-09-16 6:00 AM
Crestview,Regular Steamed Broccoli,1,am,2026-09-16 6:00 AM
Crestview,Tomato Bisque Soup,1,am,2026-09-16 6:00 AM
Florence,Pineapple Upside Down Cheesecake,1,am,2026-09-16 6:00 AM
Florence,Pumpkin Pecan Cookie with White Chocolate,1,am,2026-09-16 6:00 AM
Florence,Salted Caramel Cookie,1,am,2026-09-16 6:00 AM
Harrison,Chicken and Dumplings,1,am,2026-09-16 6:00 AM
Harrison,Pineapple Upside Down Cheesecake,1,am,2026-09-16 6:00 AM
Harrison,Pineapple Upside Down Lemonade,1,am,2026-09-16 6:00 AM
Harrison,Pineapple Upside Down Lemonade with Cold Foam,1,am,2026-09-16 6:00 AM
Harrison,Pumpkin Pecan Cookie with White Chocolate,1,am,2026-09-16 6:00 AM
Harrison,Tomato Bisque Soup,1,am,2026-09-16 6:00 AM
Union,Pineapple Upside Down Cheesecake,1,am,2026-09-16 6:00 AM
