period,store,sales,lw_pct,ly_pct,guests,labor_pct,labor_hrs,labor_$,ot,os,catering_sales,catering_plus_del
Sun9/6,Anderson,5516,-8.64%,+16.76%,350,19.51%,87.65,1076,0.42,1,78.34,89.97
Sun9/6,Crestview,8154,+10.98%,+5.12%,503,14.40%,93.00,1175,0.00,9,626.12,674.90
Sun9/6,Florence,5876,-12.35%,-23.35%,383,21.58%,100.63,1268,1.92,8,0.00,21.27
Sun9/6,Harrison,6681,-8.97%,+24.24%,416.5,14.06%,76.33,939,3.73,2,23.18,45.31
Sun9/6,Union,6458,+4.28%,,415.5,14.41%,73.46,931,0.00,-2,290.63,290.63
Sun9/6,Scott4,26228,-4.38%,+2.75%,1652.5,17.00%,357.61,4458,6.07,20,727.64,831.45
Sun9/6,ScottMarket,32686,,,,2068,,431.07,5389,6.07,18,1018.27,1122.08
WTD8/31-9/6,Anderson,39666,+1.89%,+0.91%,2579.5,19.76%,637.96,7837,1.41,11,2877.95,
WTD8/31-9/6,Crestview,53631,-3.77%,-12.88%,3416.5,15.60%,662.29,8364,0.00,17,6344.50,
WTD8/31-9/6,Florence,52922,+9.88%,-3.26%,3640,15.20%,642.38,8043,6.19,1,9692.10,
WTD8/31-9/6,Harrison,53118,-1.80%,+11.12%,3477.5,15.23%,667.95,8090,3.73,0,4596.23,
WTD8/31-9/6,Union,36249,-7.93%,,2411.5,17.49%,500.31,6339,0.00,-12,1484.56,1712.84
WTD8/31-9/6,Scott4,199336,+1.23%,-1.98%,13113.5,16.22%,2610.58,32333,11.33,28,23510.78,
WTD8/31-9/6,ScottMarket,235585,,,,15525,,3110.89,38672,11.33,16,24995.34,
