date,store,score,type,quote
2026-09-06,Harrison,5,Post Meal,"The food is great, the service is fast, and the tea is sweet. The customer service is excellent!!!"
2026-09-06,Harrison,5,Post Meal,Great service and excellent tasting food
2026-09-06,Florence,5,Post Meal,We called in our orders and were helped by Bianca. She was very patient with us as we were using our rewards and we had two different orders.
2026-09-06,Florence,5,Opt-Out,The young kid name key or ky at window so so nice and treated me like a valued customer
2026-09-05,Florence,5,Post Meal,"Attentive staff, good food"
2026-09-05,Florence,5,Post Meal,"Attentive staff, fresh and fast food"
2026-09-05,Florence,5,Opt-Out,Excellent restaurant and friendly staff. Food is always served fresh with plenty of options.
2026-09-05,Union,5,Post Meal,"The food, people who work there and the rewards are great"
2026-09-05,Union,5,Post Meal,Milinda was very nice to talk with. Made meal very enjoyable.
2026-09-05,Anderson,5,Post Meal,"Good food, fast and the sales person was very attentive with the best attitude."
2026-09-05,Crestview,5,Post Meal,Online order was ready and correct. Food was good
2026-09-05,Crestview,5,Post Meal,Great food
2026-09-04,Florence,5,Catering,The manager at the Florence KY location is the best. She is always so friendly and efficient when delivering and setting up
2026-09-04,Florence,5,Catering,Always a crowd pleaser !
2026-09-04,Union,5,Post Meal,Prepared perfectly everything is waiting for me at the window
2026-09-04,Union,5,Post Meal,"reasonable cost, good quality, nice friendly staff"
2026-09-04,Anderson,5,Post Meal,Staff was polite and helpful. Food always great
2026-09-04,Harrison,5,Post Meal,Food was great
2026-09-04,Harrison,5,Post Meal,I have your app and it's very easy to use and I love your pick up window
