gmail_id,source,store,when_et,field,value,subject
1a0a579b083731d0,olo,Market,2026-09-15 10:30 AM,86s_1030,attached,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a522c1392d43e,catering,Crestview,2026-09-15 8:55 AM,new_order,ezCater Marketplace $291.96 Delivery 09/15/2026 11:15 - 11:45 AM #3654810,Order 3654810 for 1192- NEW ezCater Order: Confirm & Accept now
1a0a522b861fe0a2,catering,Florence,2026-09-15 8:55 AM,new_order,ezCater Marketplace $244.29 Delivery 09/16/2026 11:00 - 11:30 AM #3654808,Order 3654808 for 102341- NEW ezCater Order: Confirm & Accept now
1a0a50226a84e066,catering,Florence,2026-09-15 8:19 AM,new_order,Katie Beiger $474.42 Delivery 09/17/2026 10:30 - 11:00 AM #3654705,Order 3654705 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a4f22d6df8e8a,catering,Crestview,2026-09-15 8:02 AM,new_order,theresa gray $160.40 Delivery 09/19/2026 10:00 - 10:30 AM #3651654,Order 3651654 for 1192 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a48285c8a9516,olo,Market,2026-09-15 6:00 AM,86s_am,attached,Olo: Currently 86'ed Menu Items is attached
1a0a48285c8a9516,olo,Anderson,2026-09-15 6:00 AM,count,4,Olo: Currently 86'ed Menu Items is attached
1a0a48285c8a9516,olo,Crestview,2026-09-15 6:00 AM,count,3,Olo: Currently 86'ed Menu Items is attached
1a0a48285c8a9516,olo,Florence,2026-09-15 6:00 AM,count,2,Olo: Currently 86'ed Menu Items is attached
1a0a48285c8a9516,olo,Harrison,2026-09-15 6:00 AM,count,5,Olo: Currently 86'ed Menu Items is attached
1a0a48285c8a9516,olo,Union,2026-09-15 6:00 AM,count,1,Olo: Currently 86'ed Menu Items is attached
1a0a278a8616eb89,olo,Market,2026-09-14 8:45 PM,86s_pm,attached,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a0a278a8616eb89,olo,Anderson,2026-09-14 8:45 PM,count,4,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a0a278a8616eb89,olo,Crestview,2026-09-14 8:45 PM,count,3,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a0a278a8616eb89,olo,Florence,2026-09-14 8:45 PM,count,2,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a0a278a8616eb89,olo,Harrison,2026-09-14 8:45 PM,count,5,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a0a278a8616eb89,olo,Union,2026-09-14 8:45 PM,count,1,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a0a1e30c2c662b9,catering,Crestview,2026-09-14 5:46 PM,new_order,katie link $204.85 Pickup 09/15/2026 10:30 - 11:00 AM #3653031,Order 3653031 for 1192 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a162305968e9a,catering,Florence,2026-09-14 3:26 PM,new_order,Christine Gregorio $168.39 Delivery 09/15/2026 11:15 - 11:45 AM #3652558,Order 3652558 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a15bce82745da,catering,Florence,2026-09-14 3:19 PM,new_order,Brandy Mort $500.00 Delivery 09/15/2026 11:30 - 12:00 PM #3652572,Order 3652572 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a14fcb00067a8,catering,Crestview,2026-09-14 3:05 PM,new_order,ezCater Marketplace $553.50 Delivery 10/22/2026 11:00 - 11:30 AM #3652546,Order 3652546 for 1192- NEW ezCater Order: Confirm & Accept now
1a0a134bb544370f,catering,Anderson,2026-09-14 2:36 PM,new_order,ezCater Marketplace $490.94 Delivery 09/15/2026 11:15 - 11:45 AM #3652402,Order 3652402 for 101301- NEW ezCater Order: Confirm & Accept now
1a0a123686a15685,catering,Union,2026-09-14 2:17 PM,new_order,ezCater Marketplace $162.61 Delivery 09/15/2026 11:00 - 11:30 AM #3652298,Order 3652298 for 102344- NEW ezCater Order: Confirm & Accept now
1a0a113d1f46bc27,catering,Florence,2026-09-14 2:00 PM,new_order,Kim Schwartz $421.52 Delivery 09/15/2026 10:15 - 10:45 AM #3652085,Order 3652085 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a1122fe3ccbc1,catering,Anderson,2026-09-14 1:58 PM,new_order,Sophia Tubbs $329.60 Delivery 09/15/2026 10:30 - 11:00 AM #3652145,Order 3652145 for 101301 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a10fdc703acea,catering,Crestview,2026-09-14 1:56 PM,new_order,ezCater Marketplace $150.49 Delivery 09/15/2026 11:00 - 11:30 AM #3652198,Order 3652198 for 1192- NEW ezCater Order: Confirm & Accept now
1a0a0e635cc3b66e,catering,Crestview,2026-09-14 1:10 PM,new_order,Kelly Rowland $54.86 Pickup 09/15/2026 7:30 - 8:00 AM #3651949,Order 3651949 for 1192 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a0a00771c8fc7,catering,Florence,2026-09-14 11:53 AM,new_order,Stephanie Houghton $394.01 Delivery 09/15/2026 11:30 - 12:00 PM #3651450,Order 3651450 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a07a3c38dd0d5,catering,Crestview,2026-09-14 11:12 AM,new_order,Becky Sprague $203.82 Delivery 09/15/2026 11:00 - 11:30 AM #3651238,Order 3651238 for 1192 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a0769839c74ff,catering,Florence,2026-09-14 11:08 AM,new_order,Diane Knight $521.08 Delivery 09/18/2026 10:45 - 11:15 AM #3650592,Order 3650592 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a0715b77f21e5,catering,Crestview,2026-09-14 11:02 AM,new_order,ezCater Marketplace $309.83 Delivery 09/16/2026 11:15 - 11:45 AM #3651200,Order 3651200 for 1192- NEW ezCater Order: Confirm & Accept now
1a0a061962b5b661,catering,Crestview,2026-09-14 10:45 AM,new_order,ezCater Marketplace $797.20 Pickup 09/21/2026 11:00 - 11:30 AM #3651129,Order 3651129 for 1192- NEW ezCater Order: Confirm & Accept now
1a0a1165ad24f2d9,olo,Market,2026-09-14 2:00 PM,86s_2pm,attached,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a0a1165ad24f2d9,olo,Anderson,2026-09-14 2:00 PM,count,4,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a0a1165ad24f2d9,olo,Crestview,2026-09-14 2:00 PM,count,3,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a0a1165ad24f2d9,olo,Florence,2026-09-14 2:00 PM,count,2,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a0a1165ad24f2d9,olo,Harrison,2026-09-14 2:00 PM,count,5,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a0a1165ad24f2d9,olo,Union,2026-09-14 2:00 PM,count,1,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a0a0534f1714d90,olo,Market,2026-09-14 10:30 AM,86s_1030,attached,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a0534f1714d90,olo,Anderson,2026-09-14 10:30 AM,count,4,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a0534f1714d90,olo,Crestview,2026-09-14 10:30 AM,count,3,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a0534f1714d90,olo,Florence,2026-09-14 10:30 AM,count,2,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a0534f1714d90,olo,Harrison,2026-09-14 10:30 AM,count,5,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a0534f1714d90,olo,Union,2026-09-14 10:30 AM,count,1,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a0a0584b62085d6,catering,Florence,2026-09-14 10:35 AM,new_order,Aimee Hendron $239.20 Delivery 09/16/2026 11:15 - 11:45 AM #3651060,Order 3651060 for 102341 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a038d99b35ccc,catering,Anderson,2026-09-14 10:01 AM,new_order,ezCater Marketplace $344.78 Delivery 09/15/2026 11:15 - 11:45 AM #3650907,Order 3650907 for 101301- NEW ezCater Order: Confirm & Accept now
1a0a01cc3b710693,catering,Anderson,2026-09-14 9:30 AM,new_order,Ricky Matheus $453.16 Delivery 09/15/2026 10:15 - 10:45 AM #3650760,Order 3650760 for 101301 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a017d1a6673ac,catering,Harrison,2026-09-14 9:25 AM,new_order,Kelly Boehmer $650.47 Delivery 09/15/2026 10:30 - 11:00 AM #3650731,Order 3650731 for 101302 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a0a0133bda17d18,catering,Harrison,2026-09-14 9:20 AM,new_order,ezCater Marketplace $160.97 Delivery 09/24/2026 11:00 - 11:30 AM #3650748,Order 3650748 for 101302- NEW ezCater Order: Confirm & Accept now
1a0a00c29acf8ac0,catering,Harrison,2026-09-14 9:12 AM,new_order,Lucas Dixon $322.04 Delivery 09/16/2026 7:30 - 8:00 AM #3650714,Order 3650714 for 101302 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a09ff54843cedeb,catering,Harrison,2026-09-14 8:47 AM,new_order,Rebecca Guthrie $1064.15 Pickup 09/16/2026 10:15 - 10:45 AM #3650601,Order 3650601 for 101302 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a09feea1bfb7e33,catering,Crestview,2026-09-14 8:40 AM,new_order,Alison Way $170.03 Pickup 09/14/2026 1:15 - 1:45 PM #3650635,Order 3650635 for 1192 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a09f5c2fd90a9b3,olo,Market,2026-09-14 6:00 AM,86s_am,attached,Olo: Currently 86'ed Menu Items is attached
1a09f5c2fd90a9b3,olo,Anderson,2026-09-14 6:00 AM,count,4,Olo: Currently 86'ed Menu Items is attached
1a09f5c2fd90a9b3,olo,Crestview,2026-09-14 6:00 AM,count,6,Olo: Currently 86'ed Menu Items is attached
1a09f5c2fd90a9b3,olo,Florence,2026-09-14 6:00 AM,count,2,Olo: Currently 86'ed Menu Items is attached
1a09f5c2fd90a9b3,olo,Harrison,2026-09-14 6:00 AM,count,5,Olo: Currently 86'ed Menu Items is attached
1a09f5c2fd90a9b3,olo,Union,2026-09-14 6:00 AM,count,1,Olo: Currently 86'ed Menu Items is attached
1a09c7937960db9d,catering,Crestview,2026-09-13 4:33 PM,new_order,Jillian Thompson $416.14 Delivery 09/14/2026 11:00 - 11:30 AM #3650174,Order 3650174 for 1192 - NEW ONLINE CATERING ORDER: Confirm & Accept now
1a09c77128f32586,catering,Union,2026-09-13 4:30 PM,new_order,ezCater Marketplace $285.46 Delivery 09/14/2026 11:15 - 11:45 AM #3650208,Order 3650208 for 102344- NEW ezCater Order: Confirm & Accept now
1a09d52512a78268,olo,Market,2026-09-13 8:45 PM,86s_pm,attached,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a09d52512a78268,olo,Anderson,2026-09-13 8:45 PM,count,4,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a09d52512a78268,olo,Crestview,2026-09-13 8:45 PM,count,6,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a09d52512a78268,olo,Florence,2026-09-13 8:45 PM,count,2,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a09d52512a78268,olo,Harrison,2026-09-13 8:45 PM,count,5,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a09d52512a78268,olo,Union,2026-09-13 8:45 PM,count,1,Olo: Currently 86'ed Menu Items Joe's Market 8:45 PM is attached
1a09bedc9ecd00d8,olo,Market,2026-09-13 2:00 PM,86s_2pm,attached,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a09bedc9ecd00d8,olo,Anderson,2026-09-13 2:00 PM,count,4,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a09bedc9ecd00d8,olo,Crestview,2026-09-13 2:00 PM,count,3,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a09bedc9ecd00d8,olo,Florence,2026-09-13 2:00 PM,count,2,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a09bedc9ecd00d8,olo,Harrison,2026-09-13 2:00 PM,count,5,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a09bedc9ecd00d8,olo,Union,2026-09-13 2:00 PM,count,1,Olo: Currently 86'ed Menu Items 2 pm  is attached
1a09b2cee9e6e06a,olo,Market,2026-09-13 10:30 AM,86s_1030,attached,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a09b2cee9e6e06a,olo,Anderson,2026-09-13 10:30 AM,count,4,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a09b2cee9e6e06a,olo,Crestview,2026-09-13 10:30 AM,count,3,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a09b2cee9e6e06a,olo,Florence,2026-09-13 10:30 AM,count,2,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a09b2cee9e6e06a,olo,Harrison,2026-09-13 10:30 AM,count,5,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a09b2cee9e6e06a,olo,Union,2026-09-13 10:30 AM,count,1,Olo: Currently 86'ed Menu Items Joe's Market 10:30 AM is attached
1a09a35ee503a241,olo,Market,2026-09-13 6:00 AM,86s_am,attached,Olo: Currently 86'ed Menu Items is attached
