date,store,score,type,reward,alert,quote
2026-09-06,Anderson,,Contact Us,Yes,Closed,Patio covered in human dung. 2yr old walked in it. Refund $95.16 receipt 52 at 2:40pm.
2026-09-06,Anderson,,Contact Us,Yes,Closed,"SW chicken avocado + Savannah chopped were side-salad portions. $2 app fee + $5 side salad. Felt ripped off."
2026-09-06,Harrison,3,Opt-Out,,open,Missing a couple of small items from the order.
2026-09-05,Harrison,,Contact Us,,open,"Chef salad missing ham. Only bits of bacon and mixed sliced/chunk turkey. Worst salad from this location."
2026-09-05,Florence,3,Post Meal,,open,Order correct but waited 15+ min past given time. No text if delayed.
2026-09-05,Union,4,Opt-Out,,open,Fewer chips with tortilla soup to-go than last dine-in.
2026-09-04,Anderson,,Contact Us,Yes,Closed,"Grilled chicken club hold Swiss mayo lettuce tomato still came with all of them. Mayo smothered the chicken. Staff were pleasant and short-staffed."
2026-09-04,Florence,4,Post Meal,,Closed,App order failed then QR would not recognize location. Cashier helped.
2026-09-04,Crestview,4,Post Meal,,open,Spuds huge and delicious. Not told about dessert discounts.
2026-09-04,Harrison,4,Post Meal,,Closed,Bought a giant spud in September — free-spud reward not showing for October.
