store,date,hours,sales,week_hours,week_sales
Anderson,2026-09-07,82,5500,648,45000
Anderson,2026-09-08,100.5,6000,648,45000
Anderson,2026-09-09,99.5,7500,648,45000
Anderson,2026-09-10,96.5,7000,648,45000
Anderson,2026-09-11,86,6500,648,45000
Anderson,2026-09-12,90,5500,648,45000
Anderson,2026-09-13,93.5,7000,648,45000
Crestview,2026-09-07,93,8011,703.75,58730
Crestview,2026-09-08,99.5,7956,703.75,58730
Crestview,2026-09-09,108.75,9260,703.75,58730
Crestview,2026-09-10,103,10021,703.75,58730
Crestview,2026-09-11,110,9008,703.75,58730
Crestview,2026-09-12,90,6873,703.75,58730
Crestview,2026-09-13,99.5,7600,703.75,58730
Florence,2026-09-07,83,6747,621.5,52075
Florence,2026-09-08,85.5,7552,621.5,52075
Florence,2026-09-09,99,9267,621.5,52075
Florence,2026-09-10,98,8218,621.5,52075
Florence,2026-09-11,88,7227,621.5,52075
Florence,2026-09-12,81,6064,621.5,52075
