section,field,store,value
lines_ytd,date,Market,2026-09-06
lines_ytd,lc1,Anderson,1
lines_ytd,lc2,Anderson,1
lines_ytd,lc3,Anderson,1
lines_ytd,sn1,Anderson,1
lines_ytd,sn2,Anderson,1
lines_ytd,lc1,Crestview,1
lines_ytd,lc2,Crestview,1
lines_ytd,lc3,Crestview,1
lines_ytd,sn1,Crestview,1
lines_ytd,sn2,Crestview,1
lines_ytd,lc1,Florence,1
lines_ytd,lc2,Florence,1
lines_ytd,lc3,Florence,1
lines_ytd,sn1,Florence,1
lines_ytd,sn2,Florence,0
lines_ytd,lc1,Harrison,1
lines_ytd,lc2,Harrison,1
lines_ytd,lc3,Harrison,1
lines_ytd,sn1,Harrison,0
lines_ytd,sn2,Harrison,1
lines_ytd,lc1,Union,1
lines_ytd,lc2,Union,1
lines_ytd,lc3,Union,1
lines_ytd,sn1,Union,1
lines_ytd,sn2,Union,1
