section,field,store,value
meta,numbers_date,Market,2026-09-06
meta,range,Market,Sun 9/6 + WTD 8/31-9/6
sales,day$,Anderson,5516
sales,vs_lw,Anderson,-8.64%
sales,vs_ly,Anderson,+16.76%
sales,wtd$,Anderson,39666
sales,vs_lw_wtd,Anderson,+1.89%
sales,vs_ly_wtd,Anderson,+0.91%
sales,ly_wtd$,Anderson,39308
sales,day$,Crestview,8154
sales,vs_lw,Crestview,+10.98%
sales,vs_ly,Crestview,+5.12%
sales,wtd$,Crestview,53631
sales,vs_lw_wtd,Crestview,-3.77%
sales,vs_ly_wtd,Crestview,-12.88%
sales,ly_wtd$,Crestview,61558
sales,day$,Florence,5876
sales,vs_lw,Florence,-12.35%
sales,vs_ly,Florence,-23.35%
sales,wtd$,Florence,52922
sales,vs_lw_wtd,Florence,+9.88%
sales,vs_ly_wtd,Florence,-3.26%
sales,ly_wtd$,Florence,54703
sales,day$,Harrison,6681
sales,vs_lw,Harrison,-8.97%
sales,vs_ly,Harrison,+24.24%
sales,wtd$,Harrison,53118
sales,vs_lw_wtd,Harrison,-1.80%
sales,vs_ly_wtd,Harrison,+11.12%
sales,ly_wtd$,Harrison,47801
sales,day$,Union,6458
sales,vs_lw,Union,+4.28%
sales,vs_ly,Union,
sales,wtd$,Union,36249
sales,vs_lw_wtd,Union,-7.93%
sales,vs_ly_wtd,Union,
sales,day$,Scott4,26228
sales,vs_lw,Scott4,-4.38%
sales,vs_ly,Scott4,+2.75%
sales,wtd$,Scott4,199336
sales,vs_lw_wtd,Scott4,+1.23%
sales,vs_ly_wtd,Scott4,-1.98%
sales,ly_wtd$,Scott4,203370
sales,day$,ScottMarket,32686
sales,wtd$,ScottMarket,235585
catering_sales,day$,Anderson,78.34
catering_sales,wtd$,Anderson,2877.95
catering_sales,day$,Crestview,626.12
catering_sales,vs_ly,Crestview,+59.47%
catering_sales,wtd$,Crestview,6344.50
catering_sales,day$,Florence,0.00
catering_sales,vs_ly,Florence,-100.00%
catering_sales,wtd$,Florence,9692.10
catering_sales,day$,Harrison,23.18
catering_sales,wtd$,Harrison,4596.23
catering_sales,day$,Union,290.63
catering_sales,wtd$,Union,1484.56
catering_sales,day$,Scott4,727.64
catering_sales,vs_ly,Scott4,+82.79%
catering_sales,wtd$,Scott4,23510.78
catering_sales,day$,ScottMarket,1018.27
catering_sales,wtd$,ScottMarket,24995.34
labor_chart,hours,Anderson,87.65
labor_chart,labor_pct,Anderson,19.51%
labor_chart,wtd_hrs,Anderson,637.96
labor_chart,hours,Crestview,93.00
labor_chart,labor_pct,Crestview,14.40%
labor_chart,wtd_hrs,Crestview,662.29
labor_chart,hours,Florence,100.63
labor_chart,labor_pct,Florence,21.58%
labor_chart,wtd_hrs,Florence,642.38
labor_chart,hours,Harrison,76.33
labor_chart,labor_pct,Harrison,14.06%
labor_chart,wtd_hrs,Harrison,667.95
labor_chart,hours,Union,73.46
labor_chart,labor_pct,Union,14.41%
labor_chart,wtd_hrs,Union,500.31
labor_chart,hours,Scott4,357.61
labor_chart,labor_pct,Scott4,17.00%
labor_chart,wtd_hrs,Scott4,2610.58
labor_chart,hours,ScottMarket,431.07
labor_chart,wtd_hrs,ScottMarket,3110.89
cash,yesterday,Anderson,1
cash,wtd,Anderson,11
cash,yesterday,Crestview,9
cash,wtd,Crestview,17
cash,yesterday,Florence,8
cash,wtd,Florence,1
cash,yesterday,Harrison,2
cash,wtd,Harrison,0
cash,yesterday,Union,-2
cash,wtd,Union,-12
cash,yesterday,Scott4,20
cash,wtd,Scott4,28
cash,yesterday,ScottMarket,18
cash,wtd,ScottMarket,16
